Nome antigo,Nome novo,Status
AV03102E.jpg,Lemony Snicket's Series (2).jpg,RENOMEADO
AV03202E.jpg,DOOM 3.jpg,RENOMEADO
AV03203W.jpg,DOOM 3 (2).jpg,RENOMEADO
AV03205W.jpg,DOOM 3 (3).jpg,RENOMEADO
AV03401K.jpg,MTX Mototrax.jpg,RENOMEADO
AV03402E-PAL-FRA.jpg,MTX Mototrax - PAL - FRA.jpg,RENOMEADO
AV03402E.jpg,MTX Mototrax (2).jpg,RENOMEADO
AV03801K.jpg,Tenchu Return From Darkness.jpg,RENOMEADO
AV03901A.jpg,Disney Extreme Skate Adventure.jpg,RENOMEADO
AV03902E.jpg,Disney Extreme Skate Adventure (2).jpg,RENOMEADO
AV03903E-PAL-FRA.jpg,Disney Extreme Skate Adventure - PAL - FRA.jpg,RENOMEADO
AV03903E.jpg,Disney Extreme Skate Adventure (3).jpg,RENOMEADO
AV04201W-PAL-GBR.jpg,Call of Duty Finest Hour - PAL - GBR.jpg,RENOMEADO
AV04201W.jpg,Call of Duty Finest Hour.jpg,RENOMEADO
AV04204J.jpg,Call of Duty ファイネストアワー.jpg,RENOMEADO
AV04304W.jpg,Spider-Man 2.jpg,RENOMEADO
AV04305E.jpg,Spider-Man 2 (2).jpg,RENOMEADO
AV04501K.jpg,Tony Hawk's Underground.jpg,RENOMEADO
AV04502E-PAL-AUS.jpg,Tony Hawk's Underground - PAL - AUS.jpg,RENOMEADO
AV04502E-PAL-DEU.jpg,Tony Hawk's Underground - PAL - DEU.jpg,RENOMEADO
AV04502E.jpg,Tony Hawk's Underground (2).jpg,RENOMEADO
AV04801A.jpg,Deer Hunt 2004 Season.jpg,RENOMEADO
AV05301W.jpg,Ultimate Spider-Man.jpg,RENOMEADO
AV05302E.jpg,Ultimate Spider-Man (2).jpg,RENOMEADO
AV05303E-PAL-AUS.jpg,Ultimate Spider-Man - PAL - AUS.jpg,RENOMEADO
AV05303E.jpg,Ultimate Spider-Man (3).jpg,RENOMEADO
AV05401E.jpg,Tenchu Return From Darkness (2).jpg,RENOMEADO
AV05503E.jpg,Shrek 2.jpg,RENOMEADO
AV05504E.jpg,Shrek 2 (2).jpg,RENOMEADO
AV05507K-NTSC-J.jpg,Shrek 2 - NTSC - J.jpg,RENOMEADO
AV05507K-NTSC-U-Platinum.jpg,Shrek 2 - NTSC - U - PLATINUM.jpg,RENOMEADO
AV05507K.jpg,Shrek 2 (3).jpg,RENOMEADO
AV05508E-PAL-ESP.jpg,Shrek 2 - PAL - ESP.jpg,RENOMEADO
AV05508E.jpg,Shrek 2 (4).jpg,RENOMEADO
AV05509E.jpg,Shrek 2 (5).jpg,RENOMEADO
AV05601W-PAL-AUS.jpg,Shark Tale - PAL - AUS.jpg,RENOMEADO
AV05601W-PAL-GBR.jpg,Shark Tale - PAL - GBR.jpg,RENOMEADO
AV05601W.jpg,Shark Tale.jpg,RENOMEADO
AV05602E-PAL-FRA.jpg,,NAO IDENTIFICADO
AV05602E.jpg,,NAO IDENTIFICADO
AV05801W-NTSC-J-World-Collection.jpg,Rapala Pro Fishing - NTSC - J - WORLD - COLLECTION.jpg,RENOMEADO
AV05801W.jpg,Rapala Pro Fishing.jpg,RENOMEADO
AV05902E-PAL-DEU.jpg,Madagascar - PAL - DEU.jpg,RENOMEADO
